"sexo";"nacimiento";"estatura";"peso";"grupo_rh"
"M";"1984-06-15";1.45;63;"A+"
"F";"1965-03-14";1.68;48.6;"B-"
"F";"1986-02-18";1.29;81.3;"B+"
"M";"1977-03-11";1.68;80.3;"AB+"
"M";"1969-04-11";1.83;61.4;"A+"
"M";"1977-06-21";1.72;73.2;"O+"
"M";"1971-02-27";1.39;77.6;"A+"
"F";"1970-04-18";1.57;64.2;"O-"
"M";"1984-07-13";1.78;68.2;"A+"
"F";"1986-09-04";1.68;86;"B+"
"M";"1983-08-17";1.73;75.6;"B+"
"F";"1984-02-26";1.68;79.8;"B+"
"F";"1982-02-08";1.46;75.4;"O+"
"M";"1988-04-05";1.76;60.3;"A+"
"M";"1974-09-01";1.71;72.3;"A+"
"F";"1988-09-17";1.94;71;"A+"
"M";"1986-08-11";1.56;56.8;"B+"
"F";"1985-02-23";1.56;81.7;"A+"
"F";"1981-06-15";1.6;80.2;"O+"
"M";"1985-03-27";1.68;64.4;"B+"
"F";"1973-05-23";1.58;55.7;"B+"
"M";"1998-09-10";1.9;64.7;"O+"
"M";"1984-04-21";1.71;52.8;"O+"
"M";"1980-08-23";1.89;67.3;"O-"
"F";"1983-06-07";1.5;52.4;"A+"
"M";"1983-10-18";1.75;69.8;"B-"
"M";"1977-04-06";1.68;62.1;"A-"
"M";"1971-10-02";1.72;67.3;"O+"
"F";"1993-07-01";1.48;67.3;"B+"
"M";"1981-06-26";1.65;50.6;"A+"
"F";"1979-11-13";1.61;42.8;"O+"
"M";"1981-07-28";1.72;72.8;"A+"
"F";"1978-02-16";1.56;68.1;"O+"
"F";"1977-11-08";1.5;94.3;"A+"
"M";"1975-08-05";1.47;83.1;"A+"
"F";"1966-04-10";1.45;52.3;"O-"
"M";"1990-06-18";1.83;57.6;"A+"
"M";"1978-06-28";1.64;66;"A+"
"M";"1981-11-09";1.57;77.7;"A+"
"M";"1973-06-23";1.59;62.4;"A+"
"F";"1974-06-09";1.24;70;"O+"
"M";"1991-06-22";1.83;65.7;"O+"
"F";"1982-07-04";1.68;70;"A+"
"M";"1979-06-25";1.69;69.5;"A-"
"M";"1984-08-12";1.44;76.1;"O+"
"F";"1980-05-10";1.47;60.3;"A+"
"F";"1977-08-27";1.22;88.2;"O+"
"F";"1974-10-12";1.62;73.8;"A+"
"M";"1977-09-28";1.64;57.3;"A+"
"M";"1980-09-03";1.71;50.3;"A+"
"F";"1994-11-14";1.19;77.3;"O+"
"M";"1985-04-06";1.61;75.3;"O+"
"M";"1969-11-16";1.75;84.2;"A+"
"M";"1969-04-26";1.65;70.5;"O+"
"F";"1976-06-08";1.82;69.1;"O+"
"M";"1979-04-25";1.9;71.2;"AB+"
"M";"1988-10-22";1.35;56.6;"A+"
"F";"1985-02-10";1.47;66.9;"A+"
"F";"1967-11-22";1.43;64.4;"B+"
"M";"1983-02-25";1.97;78.2;"O-"
"F";"1977-03-17";1.69;74.5;"B+"
"F";"1981-11-22";1.71;69.4;"B+"
"M";"1973-04-27";1.56;81.2;"AB+"
"F";"1983-09-08";1.54;85.3;"O+"
"M";"1980-05-27";1.78;60.1;"O+"
"M";"1980-04-11";1.79;49.9;"A-"
"M";"1972-11-25";1.49;89.5;"A+"
"F";"1988-02-17";1.49;49.2;"O+"
"M";"1974-08-14";1.49;70.3;"O+"
"M";"1971-11-10";1.67;65.1;"B+"
"M";"1980-05-25";1.94;86.6;"A+"
"M";"1986-11-13";1.64;71.2;"O+"
"M";"1969-03-07";1.44;76.6;"A+"
"M";"1980-07-28";1.75;90.2;"O+"
"M";"1986-02-25";1.61;49.9;"B+"
"F";"1983-02-06";1.46;53.7;"A+"
"F";"1987-08-28";1.75;65.9;"O+"
"F";"1984-09-18";1.81;76.2;"O+"
"F";"1976-02-25";1.37;75.3;"A+"
"M";"1981-07-12";1.67;72.6;"O+"
"M";"1985-11-18";1.69;70.5;"A+"
"M";"1975-02-20";1.61;79.7;"B+"
"F";"1995-05-13";1.51;72.6;"A+"
"M";"1968-09-07";1.98;66.1;"O+"
"M";"1974-05-05";1.51;62.1;"O+"
"F";"1980-06-16";1.59;59.8;"A+"
"F";"1976-06-16";1.25;62;"O+"
"M";"1972-10-20";1.88;84.1;"B+"
"M";"1971-08-03";1.61;86.6;"A+"
"M";"1978-05-07";1.51;75.9;"O+"
"F";"1975-10-05";1.33;72.3;"O-"
"F";"1979-06-03";1.61;86.5;"A+"
"F";"1981-03-12";1.78;65;"A+"
"F";"1983-10-03";1.53;66.7;"O+"
"F";"1976-10-23";1.76;58.3;"O+"
"M";"1973-11-13";1.76;71.9;"A+"
"M";"1970-05-12";1.45;76.4;"O+"
"M";"1996-04-27";1.69;59.2;"B+"
"M";"1980-05-12";1.21;78.7;"AB+"
"F";"1972-04-20";1.66;65.5;"O-"
"M";"1977-09-06";1.82;85.6;"A+"
"F";"1976-09-02";1.59;70.4;"O+"
"M";"1979-08-23";1.84;80.8;"O+"
"M";"1972-08-08";1.89;75.2;"O-"
"M";"1980-06-26";1.69;62.7;"A+"
"F";"1982-11-02";1.33;81.1;"A+"
"F";"1987-09-06";1.39;66.8;"O+"
"F";"1977-05-12";1.81;59.7;"A+"
"M";"1982-06-25";1.53;92.2;"O+"
"F";"1990-04-19";1.61;80.3;"A+"
"M";"1979-08-19";1.82;64.7;"A+"
"F";"1995-03-06";1.59;72.7;"O+"
"F";"1983-09-22";1.59;59.4;"O+"
"F";"1974-04-06";1.3;67.9;"A+"
"F";"1990-04-28";1.79;75.6;"O+"
"F";"1990-03-08";1.66;95.4;"A+"
"F";"1983-11-13";1.58;77.7;"O+"
"M";"1979-09-07";1.95;64.8;"O+"
"M";"1980-05-04";1.99;75.4;"O+"
"M";"1995-02-02";1.61;61.6;"A+"
"F";"1981-08-01";1.71;78.5;"O+"
"F";"1981-10-01";1.57;70.8;"O-"
"F";"1988-03-11";1.45;48.3;"B+"
"M";"1973-03-18";1.79;65.3;"O+"
"M";"1979-05-20";1.38;77.8;"O+"
"M";"1972-06-10";1.58;80;"A+"
"M";"1982-11-18";1.27;81.7;"O-"
"M";"1972-06-10";1.98;81.7;"O+"
"F";"1986-09-05";1.44;68.3;"O+"
"F";"1976-05-03";1.4;82.7;"A+"
"F";"1975-10-19";1.65;66.3;"A+"
"F";"1989-03-06";1.61;63;"O-"
"F";"1965-06-17";1.98;63.8;"O+"
"F";"1986-02-03";1.59;82.6;"A+"
"M";"1986-07-17";1.75;78.6;"O+"
"M";"1978-07-20";1.43;68.1;"A+"
"M";"1974-11-11";1.65;66.9;"B+"
"F";"1973-08-17";1.87;65.1;"A+"
"F";"1976-11-28";1.39;86.9;"O+"
"M";"1983-03-03";1.37;57.1;"A+"
"F";"1988-09-26";1.54;59.6;"B+"
"M";"1985-07-03";1.8;80.4;"A+"
"M";"1970-09-14";1.9;71.8;"A+"
"F";"1983-02-08";1.53;67.2;"O+"
"F";"1973-07-04";1.57;82.1;"O+"
"M";"1995-09-02";1.89;60.5;"O+"
"F";"1972-07-03";1.53;75.2;"O+"
"M";"1985-09-25";1.45;73.4;"B+"
"F";"1979-02-16";1.87;63.3;"B+"
"F";"1984-05-14";1.54;73.6;"B+"
"F";"1987-06-22";1.57;72.4;"O+"
"M";"1977-10-19";1.81;62.7;"O-"
"M";"1982-08-26";1.58;59.9;"B+"
"M";"1967-03-16";1.57;57.4;"B+"
"M";"1980-10-28";1.53;74.5;"A+"
"M";"1988-09-06";1.58;56;"O+"
"F";"1980-11-08";1.3;74.2;"O+"
"F";"1970-02-11";1.37;90.8;"A+"
"F";"1971-07-28";1.49;86.1;"O+"
"M";"1977-02-12";1.63;70.2;"AB+"
"F";"1959-09-13";1.65;90.9;"O+"
"F";"1995-11-19";1.35;76.2;"A+"
"F";"1971-05-21";1.57;84.1;"O+"
"M";"1979-03-23";1.51;66.7;"B+"
"M";"1970-02-14";1.66;69.3;"O+"
"M";"1989-09-02";1.53;76.2;"O+"
"F";"1977-05-23";1.76;80.2;"O+"
"M";"1987-09-25";1.61;78.9;"A+"
"M";"1971-09-05";1.97;58.2;"O+"
"F";"1961-02-05";1.65;61.7;"A+"
"F";"1986-08-10";1.53;77.5;"O+"
"F";"1994-10-18";1.76;65.3;"O+"
"M";"1976-04-07";1.89;68.7;"A+"
"M";"1980-03-10";1.55;81.3;"B+"
"M";"1983-06-04";1.76;76.3;"O+"
"M";"1973-06-03";1.87;72.7;"A+"
"F";"1987-09-14";1.47;67.7;"A+"
"F";"1968-09-06";1.55;82.2;"AB+"
"M";"1977-09-16";1.53;74.1;"O-"
"M";"1975-03-05";1.76;79.9;"O+"
"M";"1997-06-14";1.69;55.9;"A+"
"M";"1984-03-08";1.91;71.6;"AB+"
"M";"1978-07-25";1.68;77.7;"A+"
"M";"1993-08-14";1.67;59.4;"O-"
"F";"1971-10-19";1.66;74.2;"B+"
"M";"1986-10-11";1.67;54.4;"O+"
"M";"1970-11-16";1.62;77.4;"A-"
"F";"1984-03-12";1.6;58.1;"A+"
"F";"1977-07-19";1.61;71.2;"A+"
"F";"1983-07-15";1.5;70;"O+"
"F";"1986-09-13";1.76;53.5;"A+"
"F";"1967-03-01";1.54;85.6;"O+"
"F";"1975-08-25";1.95;82.7;"A+"
"F";"1983-10-25";1.61;65.4;"A+"
"F";"1972-11-24";1.39;62.2;"A+"
"M";"1974-02-17";1.77;73;"B+"
"M";"1988-06-26";1.7;80.6;"B+"
"M";"1978-05-25";1.73;72;"B+"
"F";"1984-08-28";1.63;79.6;"B-"
"M";"1985-03-07";1.42;86.6;"A+"
"F";"1977-02-14";1.73;84.1;"B+"
"M";"1975-08-02";1.84;71.7;"A+"
"M";"1978-03-16";1.67;53;"O+"
"M";"1983-09-01";1.44;75.2;"O+"
"F";"1986-09-19";1.36;82.8;"A+"
"F";"1967-06-09";1.76;73.5;"B+"
"M";"1985-11-23";1.58;61.8;"AB+"
"F";"1996-03-13";1.65;71.5;"A+"
"F";"1980-09-05";1.77;61.6;"A+"
"M";"1973-04-26";1.36;76.1;"B+"
"F";"1978-06-11";1.28;73.3;"A+"
"M";"1972-10-15";1.83;75.2;"O+"
"M";"1981-03-19";1.69;82.6;"AB+"
"F";"1976-08-24";1.56;76.1;"O+"
"F";"1983-07-05";1.66;57.4;"A+"
"M";"1972-09-03";1.89;50.5;"B+"
"M";"1973-03-07";1.62;68.8;"A-"
"M";"1978-11-06";1.71;52.7;"O+"
"M";"1975-11-01";1.65;63.5;"A+"
"M";"1978-10-26";1.61;61.5;"B+"
"M";"1986-07-16";1.4;65.4;"O+"
"F";"1992-09-09";1.47;62.6;"O+"
"F";"1976-02-20";1.86;63.4;"O+"
"F";"1987-11-08";1.51;63.2;"A+"
"F";"1974-11-20";1.46;77.1;"AB+"
"F";"1971-08-27";1.53;61.3;"O+"
"M";"1986-02-14";1.81;58.6;"O+"
"F";"1989-04-06";1.72;78;"B+"
"M";"1983-02-25";1.72;70.4;"B+"
"F";"1970-08-23";1.57;62.9;"A+"
"F";"1972-11-08";1.44;90.2;"O+"
"M";"1990-04-15";1.55;63.2;"O+"
"F";"1981-08-06";1.61;47.2;"A-"
"M";"1988-06-08";1.55;56.8;"A-"
"F";"1975-03-12";1.62;67.9;"O+"
"F";"1977-09-14";1.37;68.3;"O+"
"M";"1972-11-17";1.99;74.1;"B+"
"F";"1976-05-20";1.6;78.3;"O+"
"F";"1982-03-09";1.61;77.9;"O+"
"F";"1985-08-19";1.77;73.3;"A-"
"M";"1984-10-15";1.68;56.8;"B+"
"M";"1972-08-23";1.78;77.4;"O+"
"F";"1984-05-21";1.5;66.3;"B+"
"F";"1971-07-03";1.55;78.6;"A+"
"M";"1976-10-17";1.55;80.6;"O+"
"M";"1975-07-11";1.59;52.5;"O+"
"F";"1977-03-02";1.61;72.1;"B+"
"M";"1988-02-08";1.59;66.1;"O+"
"M";"1970-02-01";1.43;59.2;"B+"
"F";"1980-04-04";1.91;76.8;"O+"
"M";"1979-10-25";1.96;60.8;"O+"
"F";"1985-06-01";1.64;75.9;"O+"
"M";"1998-06-24";1.26;71.1;"A-"
"F";"1983-04-03";1.73;63.3;"A+"
"F";"1986-05-23";1.46;72.7;"A+"
"M";"1985-05-17";1.79;59.4;"O+"
"F";"1979-06-08";1.57;51.3;"O-"
"M";"1975-05-20";1.59;59;"B+"
"M";"1998-08-18";1.83;73.5;"A+"
"F";"1971-07-19";1.95;34.8;"A+"
"F";"1975-05-25";1.72;68.9;"B+"
"F";"1978-06-04";1.78;59.3;"B+"
"M";"1980-06-11";1.4;71.8;"A+"
"F";"1972-04-10";1.67;75.5;"A+"
"M";"1983-04-17";1.75;67;"B+"
"F";"1990-09-03";1.54;59.3;"AB-"
"M";"1975-05-04";1.79;71.9;"O+"
"F";"1978-02-03";1.69;81;"AB+"
"F";"1985-06-09";1.63;66;"O+"
"F";"1978-05-17";1.56;77.9;"O+"
"M";"1980-04-03";1.7;92.6;"O+"
"F";"1986-05-02";1.55;75.3;"A-"
"F";"1979-04-27";1.4;58;"A+"
"F";"1973-09-10";1.59;58.6;"AB+"
"M";"1979-10-28";1.89;84.1;"A+"
"F";"1966-11-05";1.84;56.2;"B+"
"M";"1975-05-02";1.9;80.9;"B+"
"M";"1985-06-08";1.61;76.2;"A+"
"F";"1986-11-21";1.7;68.6;"B+"
"F";"1970-04-10";1.66;64.7;"O+"
"M";"1964-04-27";1.55;62.6;"O+"
"M";"1984-05-22";1.66;79.9;"O+"
"M";"1977-08-10";1.75;61.7;"A+"
"F";"1980-05-11";1.45;66;"A+"
"M";"1977-11-18";1.7;77;"O+"
"F";"1984-08-28";1.4;48.8;"O+"
"F";"1970-09-14";1.68;88.2;"A+"
"F";"1978-10-05";1.66;56.5;"B+"
"M";"1986-09-09";1.63;55.5;"B+"
"M";"1985-03-24";1.85;65.4;"B+"
"M";"1970-04-01";1.47;69.1;"B+"
"M";"1978-04-01";1.92;72.8;"A+"
"F";"1993-03-11";1.82;85.2;"O+"
"M";"1976-10-08";1.87;67.1;"O+"
"M";"1978-08-04";1.56;57.3;"B+"
"M";"1982-03-20";1.66;76.7;"B+"
"F";"1977-04-07";1.82;61;"A+"
"F";"1977-11-24";1.65;70.6;"B+"
"M";"1982-04-08";1.58;53.1;"O+"
"F";"1971-11-01";1.74;69.5;"A+"
"F";"1987-09-07";1.67;94.4;"O+"
"F";"1981-03-04";1.86;49.7;"A-"
"F";"1975-02-10";1.56;88.4;"B+"
"M";"1979-11-09";1.54;56.4;"O+"
"F";"1984-08-16";1.46;68.4;"O+"
"F";"1977-03-02";1.77;81.4;"B+"
"M";"1982-02-27";1.77;84.3;"A+"
"F";"1971-10-21";1.72;65.4;"O+"
"F";"1978-06-13";1.59;74.7;"O+"
"F";"1991-03-14";1.38;58.9;"A+"
"F";"1974-07-17";1.39;77.9;"A+"
"M";"1975-11-07";1.87;74.4;"A+"
"M";"1970-03-24";1.46;61.4;"B+"
"F";"1984-07-03";1.8;77.2;"O+"
"F";"1981-08-16";1.52;58.4;"O+"
"M";"1970-06-06";1.71;57.3;"AB+"
"F";"1969-11-16";1.48;68.9;"A+"
"F";"1976-06-10";1.33;92.6;"O+"
"M";"1974-10-02";1.49;68.2;"A+"
"F";"1982-08-17";1.72;52.3;"B-"
"M";"1974-06-02";1.7;66.3;"A+"
"M";"1991-02-07";1.77;67.1;"O-"
"F";"1978-02-27";1.42;70.1;"A+"
"F";"1979-02-23";1.59;71.6;"O+"
"M";"1984-10-19";1.81;84.6;"A+"
"M";"1978-07-21";1.7;75.2;"B+"
"M";"1968-10-06";1.9;69.6;"O+"
"M";"1972-09-09";1.62;65.2;"O+"
"F";"1986-10-16";1.59;60.8;"B+"
"F";"1980-10-21";1.62;70.7;"A+"
"M";"1984-08-25";1.62;60.9;"AB+"
"M";"1978-07-05";1.86;72;"O+"
"F";"1983-06-24";1.88;79.4;"O+"
"F";"1992-11-08";1.63;85.1;"O+"
"F";"1969-07-08";1.72;70.4;"O+"
"F";"1972-06-13";1.69;83.4;"AB-"
"M";"1974-09-14";1.56;90.6;"O+"
"M";"1970-08-01";2.05;75.8;"O-"
"F";"1984-10-12";1.47;65.7;"A+"
"M";"1960-07-17";1.64;72.3;"B+"
"F";"1983-11-07";1.87;67;"O+"
"M";"1983-06-21";1.92;64.2;"B+"
"F";"1977-03-22";1.72;85;"O+"
"F";"1983-10-01";1.76;75.4;"A+"
"F";"1993-07-24";1.61;71.7;"O+"
"M";"1978-02-13";1.88;62.1;"O+"
"F";"1981-07-07";1.4;70.5;"O+"
"F";"1975-03-26";1.38;68.6;"AB+"
"M";"1984-06-26";1.59;51.3;"AB+"
"M";"1978-09-01";1.76;76.7;"A+"
"F";"1984-11-13";1.61;89.7;"A+"
"F";"1991-10-15";1.96;67.6;"B+"
"F";"1985-06-01";1.83;72.6;"O+"
"M";"1993-02-01";1.76;82;"O-"
"M";"1990-03-17";1.65;79.8;"O+"
"M";"1968-11-02";1.53;64.2;"O+"
"M";"1973-03-13";1.79;82.9;"AB+"
"M";"1989-09-22";1.78;64.8;"B+"
"M";"1981-11-03";1.64;70.4;"A-"
"M";"1963-02-05";1.68;78.1;"AB+"
"F";"1984-10-13";1.82;85.9;"A+"
"F";"1972-04-27";1.43;52.2;"O+"
"M";"1980-05-14";1.61;75.5;"O+"
"M";"1983-06-17";1.82;82.4;"O+"
"F";"1981-02-18";1.57;75.7;"B+"
"M";"1974-10-15";1.89;64.6;"A+"
"M";"1984-02-16";1.53;66.4;"B+"
"M";"1973-11-24";1.69;76.8;"B+"
"F";"1995-06-22";1.37;76.8;"A+"
"M";"1968-10-28";1.99;65.8;"O-"
"F";"1974-08-17";1.45;79.3;"B+"
"M";"1973-05-11";1.52;52.8;"B+"
"F";"1988-05-15";1.71;66.3;"O+"
"M";"1987-10-03";1.74;59.6;"O+"
"F";"1979-06-23";1.58;71.3;"A+"
"M";"1971-02-09";1.46;67.7;"O+"
"M";"1979-05-18";1.63;67.2;"O+"
"F";"1981-04-02";1.81;73;"O+"
"F";"1984-07-12";1.59;72.3;"A+"
"M";"1978-11-16";1.61;69.6;"A+"
"M";"1984-04-23";1.98;78.6;"A+"
"F";"1983-07-21";1.62;61.3;"A+"
"F";"1976-08-17";1.62;66.6;"O+"
"M";"1969-07-17";1.68;61.3;"O+"
"M";"1987-11-24";1.56;65.7;"A+"
"M";"1971-04-05";1.75;72;"O+"
"M";"1990-04-11";1.68;81.2;"A+"
"M";"1976-04-14";1.72;66.8;"B+"
"F";"1991-02-03";1.64;61.8;"O+"
"M";"1981-03-23";1.9;80.6;"O+"
"F";"1988-07-21";1.57;64.3;"AB+"
"M";"1975-11-02";1.66;80.9;"A-"
"M";"1981-10-03";1.3;72.7;"B+"
"M";"1971-05-20";1.81;80.4;"AB+"
"M";"1974-04-09";1.31;72.1;"A+"
"F";"1979-06-04";1.72;61.2;"O+"
"F";"1986-02-09";1.62;69.6;"O+"
"F";"1980-05-13";1.68;56.5;"O+"
"F";"1982-08-21";1.59;75.9;"O+"
"F";"1985-11-24";1.66;68.4;"O+"
"M";"1974-07-16";1.69;73.8;"A+"
"F";"1984-08-22";1.63;56.6;"B+"
"F";"1980-04-20";1.42;60.7;"A+"
"M";"1981-09-17";1.9;58.3;"O+"
"M";"1993-11-03";1.57;66.6;"O+"
"M";"1992-04-17";1.55;86.4;"B+"
"F";"1973-04-05";1.56;98.3;"A+"
"F";"1977-09-12";1.51;79.2;"AB+"
"F";"1974-09-14";1.73;65.2;"B+"
"M";"1985-03-11";1.64;60.3;"A+"
"F";"1974-05-09";1.51;78.9;"A+"
"F";"1981-06-20";1.63;72;"B+"
"M";"1979-02-07";1.63;66.6;"O+"
"M";"1979-11-13";1.98;62.6;"O+"
"M";"1984-09-11";1.64;53.9;"O+"
"M";"1970-06-28";1.45;65;"A-"
"F";"1974-03-16";1.33;79.4;"B+"
"M";"1978-05-06";1.75;84.7;"B+"
"F";"1994-08-27";1.78;59.4;"B+"
"F";"1990-04-28";1.74;62.3;"O+"
"M";"1971-08-19";1.83;72.9;"B+"
"M";"1978-06-03";1.9;67.9;"B+"
"M";"1988-06-17";1.7;79;"A+"
"F";"1983-09-11";1.56;57.4;"O+"
"M";"1970-08-26";1.65;74;"B+"
"M";"1976-08-15";1.66;68.3;"O+"
"F";"1968-06-23";1.47;76.5;"O+"
"M";"1988-05-26";1.63;53.9;"O+"
"M";"1978-10-09";1.65;87.6;"O+"
"M";"1968-02-03";1.28;69.5;"O+"
"F";"1981-03-28";1.38;66.8;"B-"
"M";"1985-06-09";1.55;79.6;"A+"
"M";"1973-03-02";1.67;56;"B+"
"F";"1974-10-05";1.46;69.9;"A+"
"M";"1986-11-17";1.78;52.9;"A+"
"M";"1972-10-03";1.61;56.4;"B-"
"F";"1980-07-01";1.9;60.3;"A+"
"M";"1983-10-16";1.75;80.8;"A-"
"M";"1973-11-19";1.7;71.4;"A+"
"F";"1973-05-01";1.43;64.8;"A+"
"M";"1977-06-25";1.68;96.9;"AB+"
"M";"1979-11-06";1.66;69.6;"O+"
"F";"1978-04-13";1.55;80.2;"A+"
"F";"1960-09-03";1.52;84.8;"B+"
"F";"1978-10-19";1.45;70.1;"A+"
"F";"1984-08-09";1.51;82.7;"O+"
"M";"1988-02-11";1.41;65.8;"O+"
"M";"1985-07-27";1.52;79.5;"B+"
"M";"1981-08-21";1.7;74.9;"A-"
"M";"1979-10-20";1.7;53.1;"O+"
"M";"1973-02-25";1.91;78.5;"O+"
"F";"1981-02-11";1.26;75.7;"A+"
"M";"1974-03-23";1.83;76.4;"A+"
"F";"1986-10-14";1.45;77.8;"O+"
"M";"1975-04-24";1.92;73.6;"O+"
"M";"1964-03-04";1.95;92.5;"O+"
"M";"1988-04-11";1.72;75.1;"A+"
"F";"1985-05-18";1.38;63.9;"A+"
"M";"1968-05-03";1.71;63.6;"O+"
"M";"1996-04-02";1.78;82.5;"A+"
"F";"1983-07-22";1.69;63.3;"A-"
"M";"1967-02-10";2.02;69.8;"A+"
"M";"1987-08-16";1.42;74.9;"A-"
"M";"1985-08-26";1.7;63.9;"A+"
"M";"1982-11-28";1.56;73.4;"O+"
"M";"1978-05-25";1.64;83.5;"O+"
"M";"1980-10-06";1.51;59.8;"O+"
"M";"1985-02-28";1.66;81.2;"O+"
"M";"1981-08-21";1.74;80.1;"A+"
"F";"1970-03-05";1.4;78.4;"B+"
"M";"1979-04-16";1.62;82.2;"O-"
"M";"1976-06-17";1.75;56.8;"O+"
"M";"1981-07-27";1.87;63.8;"O+"
"M";"1972-09-14";1.54;63.2;"A+"
"F";"1978-11-15";1.77;84.2;"O+"
"M";"1987-06-08";1.48;76.4;"A+"
"F";"1991-05-26";1.6;83.4;"A-"
"M";"1999-11-15";1.64;72.8;"AB+"
"F";"1976-02-24";1.54;70.2;"A+"
"F";"1972-09-11";1.55;89.3;"A+"
"M";"1975-07-24";1.79;68.8;"A+"
"F";"1992-08-16";1.79;67.2;"O+"
"F";"1981-08-20";1.54;70;"A+"
"M";"1989-10-08";1.48;84.2;"O+"
"F";"1985-03-13";2.04;61.1;"O+"
"F";"1990-07-03";1.97;49.6;"O+"
"M";"1972-11-05";1.72;51.6;"O+"
"F";"1982-02-23";1.52;69.5;"O-"
"M";"1993-02-02";1.88;91.8;"O+"
"M";"1967-02-02";1.93;54;"O+"
"M";"1985-02-10";1.93;58.2;"O+"
"F";"1969-03-14";1.55;66.3;"B+"
"M";"1987-02-28";1.82;76.5;"A+"
"F";"1975-08-15";1.68;84.5;"O+"
"F";"1985-09-24";1.22;68.5;"A+"
"M";"1976-04-14";1.71;65.7;"A+"
"F";"1974-09-05";1.83;56.2;"A+"
"M";"1971-11-28";1.73;81.5;"O+"
"M";"1989-09-25";1.92;70.5;"A+"
"M";"1973-09-18";2.08;86.4;"A+"
"M";"1970-04-02";1.76;59.2;"A+"
"F";"1982-06-20";1.4;75;"O+"
"M";"1985-05-14";1.65;84.9;"O+"
"M";"1992-02-03";1.83;65.4;"A+"
"M";"1976-05-19";1.74;58.2;"B+"
"F";"1996-03-26";1.45;74.7;"B+"
"F";"1970-06-22";1.56;80.3;"A+"
"M";"1971-05-27";1.61;76.2;"B+"
"F";"1987-03-03";1.27;71.4;"B+"
"M";"1969-02-06";1.64;66.3;"O-"
"M";"1986-11-21";1.72;68.8;"A+"
"M";"1981-09-26";1.54;81;"O+"
"F";"1978-10-20";1.82;74.2;"B+"
"F";"1979-09-20";1.56;71;"A+"
"F";"1984-06-13";1.64;57.8;"B+"
"F";"1990-09-06";1.62;90.5;"A+"
"M";"1971-05-09";1.5;70.7;"A-"
"M";"1980-08-22";1.88;80.5;"A+"
"M";"1980-11-17";1.62;66.8;"B+"
"M";"1991-05-23";1.54;91.6;"A+"
"F";"1970-05-12";1.84;76.5;"A+"
"F";"1988-05-05";1.68;63.8;"O+"
"F";"1969-09-21";1.33;42.4;"O+"
"F";"1968-02-22";1.59;72.5;"O+"
"F";"1980-08-10";1.56;73.7;"O+"
"F";"1977-07-18";1.68;86.7;"B+"
"F";"1980-02-08";1.95;49.6;"A+"
"M";"1982-07-08";1.61;68.1;"A+"
"M";"1982-05-28";1.59;67.6;"O+"
"M";"1976-06-17";1.98;57.6;"A+"
"M";"1985-02-01";1.89;68.5;"O+"
"F";"1980-11-11";1.89;62;"A+"
"M";"1984-09-11";1.71;78.1;"B+"
"M";"1981-06-15";1.83;52.7;"A-"
"F";"1971-08-28";1.54;87.6;"B+"
"M";"1996-07-13";1.59;74.3;"O+"
"M";"1978-02-09";1.35;67.8;"O+"
"M";"1977-06-18";1.87;64.9;"O+"
"M";"1988-06-27";1.73;69.7;"AB+"
"M";"1973-11-05";1.48;62.5;"B+"
"F";"1984-08-28";1.65;79.2;"O+"
"M";"1976-03-16";1.49;78.5;"A+"
"F";"1984-07-23";1.41;85.2;"A+"
"M";"1976-05-22";1.67;74.4;"B+"
"M";"1986-08-01";1.5;52.3;"A+"
"F";"1987-04-21";1.64;73.7;"A+"
"F";"1987-09-24";1.83;67.7;"A+"
"M";"1996-05-15";1.67;74.7;"A-"
"F";"1961-09-07";1.65;81.1;"O+"
"F";"1984-05-09";1.76;61;"O+"
"M";"1976-10-22";1.35;74.5;"A+"
"M";"1983-09-26";1.82;81.8;"O+"
"F";"1974-08-27";1.37;89.1;"B+"
"M";"1986-05-01";1.69;62.5;"B+"
"M";"1978-08-15";1.63;60.9;"A+"
"F";"1981-02-20";1.69;74.7;"A+"
"F";"1979-02-10";1.44;85.8;"A+"
"M";"1991-02-06";1.21;73.2;"B+"
"F";"1962-03-18";1.69;79.3;"A+"
"M";"1992-02-11";1.78;52.3;"B+"
"F";"1978-04-07";1.7;65.2;"O+"
"F";"1986-03-27";1.45;64.8;"O+"
"M";"1978-10-04";1.53;68.9;"B+"
"M";"1972-03-01";1.98;58.6;"O+"
"M";"1963-05-28";1.29;57.6;"B+"
"M";"1980-09-20";1.55;71.7;"A-"
"M";"1975-09-16";1.64;80.3;"A+"
"F";"1983-09-28";1.56;57.3;"O+"
"F";"1987-05-15";1.48;75.1;"O+"
"M";"1989-07-15";1.79;75.5;"O+"
"M";"1985-07-06";2.13;67.3;"O+"
"F";"1990-09-18";1.42;67.3;"O+"
"M";"1969-09-20";1.65;83.8;"O+"
"M";"1976-03-08";1.78;61.1;"O+"
"F";"1972-05-03";1.7;73;"A+"
"M";"1985-08-11";1.74;83.5;"O+"
"M";"1980-09-05";1.7;76;"O+"
"M";"1975-10-01";1.62;44.5;"O+"
"M";"1978-04-02";1.74;83.6;"O+"
"F";"1985-05-19";1.69;93.7;"B+"
"M";"1989-09-28";1.58;65.1;"O+"
"F";"1966-03-17";1.29;60.6;"A-"
"F";"1968-07-27";1.52;82.2;"O+"
"M";"1981-08-22";1.73;60.5;"B+"
